country,food_category,consumption,co2_emission
Algeria,nuts,2.08,3.68
Ukraine,pork,20.56,72.77
Ukraine,poultry,24.23,26.03
Ukraine,beef,8.96,276.49
Ukraine,lamb_goat,0.41,14.36
Ukraine,fish,15.23,24.32
Ukraine,eggs,18.01,16.54
Ukraine,dairy,145.03,206.58
Ukraine,wheat,105.15,20.05
Ukraine,rice,3.0,3.84
Ukraine,soybeans,0.02,0.01
Ukraine,nuts,2.68,4.74
Pakistan,pork,0.0,0.0
Pakistan,poultry,5.01,5.38
Pakistan,beef,8.82,272.17
Pakistan,lamb_goat,2.46,86.15
Pakistan,fish,1.87,2.99
Pakistan,eggs,2.95,2.71
Pakistan,dairy,183.13,260.85
Pakistan,wheat,113.63,21.67
Pakistan,rice,12.25,15.68
Pakistan,soybeans,0.0,0.0
Pakistan,nuts,0.83,1.47
Swaziland,pork,2.43,8.6
Swaziland,poultry,6.18,6.64
Swaziland,beef,15.1,465.95
Swaziland,lamb_goat,1.94,67.94
Swaziland,fish,1.26,2.01
Swaziland,eggs,1.5,1.38
Swaziland,dairy,56.6,80.62
Swaziland,wheat,37.15,7.08
Swaziland,rice,21.15,27.07
Swaziland,soybeans,0.55,0.25
Swaziland,nuts,6.44,11.4
Latvia,pork,34.96,123.74
Latvia,poultry,20.53,22.05
Latvia,beef,5.11,157.68
Latvia,lamb_goat,0.34,11.91
Latvia,fish,21.3,34.01
Latvia,eggs,14.03,12.89
Latvia,dairy,174.11,248.0
Latvia,wheat,72.13,13.76
Latvia,rice,2.21,2.83
Latvia,soybeans,0.04,0.02
Latvia,nuts,3.78,6.69
Bosnia and Herzegovina,pork,9.38,33.2
Bosnia and Herzegovina,poultry,13.17,14.15
Bosnia and Herzegovina,beef,9.12,281.42
Bosnia and Herzegovina,lamb_goat,0.47,16.46
Bosnia and Herzegovina,fish,4.06,6.48
Bosnia and Herzegovina,eggs,4.49,4.12
Bosnia and Herzegovina,dairy,174.03,247.89
Bosnia and Herzegovina,wheat,93.56,17.84
Bosnia and Herzegovina,rice,1.88,2.41
Bosnia and Herzegovina,soybeans,1.48,0.67
Bosnia and Herzegovina,nuts,2.0,3.54
Fiji,pork,4.31,15.26
Fiji,poultry,20.26,21.76
Fiji,beef,8.96,276.49
Fiji,lamb_goat,5.9,206.62
Fiji,fish,35.01,55.9
Fiji,eggs,6.44,5.92
Fiji,dairy,40.2,57.26
Fiji,wheat,84.22,16.06
Fiji,rice,45.62,58.38
Fiji,soybeans,0.3,0.14
Fiji,nuts,1.3,2.3
South Korea,pork,32.76,115.95
South Korea,poultry,16.0,17.19
South Korea,beef,14.53,448.37
South Korea,lamb_goat,0.14,4.9
South Korea,fish,33.09,52.83
South Korea,eggs,11.24,10.33
South Korea,dairy,29.05,41.38
South Korea,wheat,50.84,9.7
South Korea,rice,85.18,109.0
South Korea,soybeans,8.35,3.76
South Korea,nuts,4.88,8.64
Poland,pork,46.19,163.49
Poland,poultry,27.41,29.44
Poland,beef,2.32,71.59
Poland,lamb_goat,0.02,0.7
Poland,fish,10.49,16.75
Poland,eggs,7.53,6.92
Poland,dairy,205.39,292.56
Poland,wheat,108.83,20.75
Poland,rice,0.95,1.22
Poland,soybeans,0.06,0.03
Poland,nuts,2.23,3.95
Saudi Arabia,pork,0.0,0.0
Saudi Arabia,poultry,49.05,52.69
Saudi Arabia,beef,6.45,199.03
Saudi Arabia,lamb_goat,6.54,229.03
Saudi Arabia,fish,11.99,19.14
Saudi Arabia,eggs,5.37,4.93
Saudi Arabia,dairy,83.65,119.15
Saudi Arabia,wheat,89.47,17.06
Saudi Arabia,rice,36.02,46.09
Saudi Arabia,soybeans,0.05,0.02
Saudi Arabia,nuts,3.23,5.72
Botswana,pork,0.74,2.62
Botswana,poultry,5.33,5.73
Botswana,beef,7.85,242.23
Botswana,lamb_goat,3.76,131.67
Botswana,fish,3.98,6.35
Botswana,eggs,1.95,1.79
Botswana,dairy,117.74,167.71
Botswana,wheat,38.2,7.28
Botswana,rice,7.06,9.03
Botswana,soybeans,1.16,0.52
Botswana,nuts,1.08,1.91
Macedonia,pork,10.35,36.63
Macedonia,poultry,18.77,20.16
Macedonia,beef,7.69,237.3
Macedonia,lamb_goat,0.94,32.92
Macedonia,fish,5.47,8.73
